agent,length,mean_return,return,seed,total_reward
nominal-epc-route,6,1.94608,3.3308800000000005,2,5.000000000000001
nominal-epc-route,6,2.02808,3.4162133333333338,14,5.166666666666667
nominal-epc-behaviour,14,3.147835049827962,4.399243992268801,16,12.333333333333336
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,28,14.0
nominal-epc-behaviour,14,3.5151759025395815,4.571884341111467,10,13.5
nominal-epc-route,14,3.1260719822750476,4.475414728704,23,12.333333333333337
nominal-epc-behaviour,14,3.4527208237738662,4.582143783458134,19,13.333333333333334
oracle,14,4.309459119611007,7.000100628753251,9,12.333333333333337
nominal-epc-behaviour,14,3.090929125132191,4.390081395370667,22,12.16666666666667
nominal-epc-route,14,3.5151759025395815,4.571884341111467,17,13.5
nominal-epc-route,14,3.5991149501586293,4.694764341111467,26,13.833333333333334
nominal-epc-route,14,3.6342578073014855,4.7800976744448,11,14.0
nominal-epc-route,14,3.6342578073014855,4.7800976744448,20,14.0
oracle,14,4.875439979247494,7.415982254503901,12,13.5
nominal-epc-behaviour,14,3.5151759025395815,4.571884341111467,2,13.5
nominal-epc-behaviour,14,3.447844633297676,4.5992104501248,1,13.333333333333334
oracle,14,5.042079514961779,7.7123207545039,15,14.0
nominal-epc-behaviour,14,3.402205967301486,4.550612447778134,13,13.166666666666668
nominal-epc-behaviour,14,3.5151759025395815,4.571884341111467,25,13.5
nominal-epc-behaviour,14,3.3200258591110092,4.421576159778134,4,12.833333333333334
oracle,14,4.360331985736052,6.9209650592254,16,12.333333333333336
oracle,14,4.875439979247494,7.415982254503901,21,13.5
nominal-epc-route,14,3.6342578073014855,4.7800976744448,8,14.0
nominal-epc-behaviour,14,3.594238759682438,4.711831007778134,7,13.833333333333334
nominal-epc-route,14,3.5032779977776767,4.613527007778133,5,13.5
nominal-epc-route,14,3.147835049827962,4.399243992268801,29,12.333333333333336
oracle,14,5.042079514961779,7.7123207545039,28,14.0
nominal-epc-behaviour,14,3.5032779977776767,4.613527007778133,14,13.5
oracle,14,4.89660701496178,7.383055754503901,10,13.5
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,26,14.0
nominal-epc-behaviour,14,3.5212711406348194,4.550551007778133,17,13.5
oracle,14,4.2685186434205304,6.878600628753251,22,12.16666666666667
oracle,14,4.360331985736052,6.9209650592254,6,12.333333333333336
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,11,14.0
oracle,14,5.042079514961779,7.7123207545039,18,14.0
oracle,14,5.001139038771302,7.590820754503901,24,13.833333333333334
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,20,14.0
oracle,14,4.89660701496178,7.383055754503901,2,13.5
oracle,14,4.875439979247494,7.415982254503901,19,13.5
oracle,14,4.875439979247494,7.415982254503901,3,13.5
nominal-epc-behaviour,14,3.312652356939581,4.447383417378134,23,12.833333333333334
oracle,14,4.734712324366542,7.264521569503901,0,13.166666666666668
oracle,14,4.79001492406666,7.3636804884889004,1,13.333333333333334
oracle,14,4.5345443524843985,7.0203384146539,27,12.666666666666668
oracle,14,4.734712324366542,7.264521569503901,13,13.166666666666668
oracle,14,4.89660701496178,7.383055754503901,25,13.5
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,8,14.0
oracle,14,5.042079514961779,7.7123207545039,11,14.0
oracle,14,5.042079514961779,7.7123207545039,26,14.0
oracle,14,4.766697980437969,7.214766104503901,4,13.166666666666668
nominal-epc-behaviour,14,3.147835049827962,4.399243992268801,29,12.333333333333336
nominal-epc-behaviour,14,3.5590959025395814,4.626497674444801,5,13.666666666666668
oracle,14,4.89660701496178,7.383055754503901,17,13.5
oracle,14,4.309459119611007,7.000100628753251,23,12.333333333333337
oracle,14,4.875439979247494,7.415982254503901,14,13.5
oracle,14,5.042079514961779,7.7123207545039,20,14.0
oracle,14,4.993328324485589,7.602970754503901,7,13.833333333333334
nominal-epc-route,14,3.6342578073014855,4.7800976744448,32,14.0
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,31,14.0
nominal-epc-behaviour,14,3.468135140634819,4.5281936744448,34,13.333333333333334
oracle,14,4.360331985736052,6.9209650592254,30,12.333333333333336
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,32,14.0
oracle,14,4.360331985736052,6.9209650592254,29,12.333333333333336
oracle,14,5.042079514961779,7.7123207545039,8,14.0
oracle,14,4.8279474941857075,7.489859453488902,33,13.500000000000002
nominal-epc-route,5,1.7504533333333332,3.020266666666667,35,4.166666666666667
oracle,14,4.952387848295112,7.4814707545039,5,13.666666666666668
oracle,14,4.8344995030570175,7.2944822545039,34,13.333333333333334
oracle,14,5.042079514961779,7.7123207545039,32,14.0
nominal-epc-behaviour,14,3.5590959025395814,4.626497674444801,35,13.666666666666668
oracle,14,5.042079514961779,7.7123207545039,31,14.0
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,37,14.0
oracle,14,5.042079514961779,7.7123207545039,37,14.0
oracle,14,4.706782632411898,7.3079677569889006,36,13.166666666666668
oracle,14,4.952387848295112,7.4814707545039,35,13.666666666666668
robust-epc,14,2.3761690221626606,3.1239382479764157,16,12.16666666666667
nominal-epc-route,14,3.147835049827962,4.399243992268801,16,12.333333333333336
nominal-epc-route,14,3.5590959025395814,4.626497674444801,38,13.666666666666668
